movieId,title,tmdbId
152,"Addiction, The (1995)",34996
153,Batman Forever (1995),414
154,Beauty of the Day (Belle de jour) (1967),649
155,Beyond Rangoon (1995),1873
156,Blue in the Face (1995),5894
157,Canadian Bacon (1995),1775
158,Casper (1995),8839
159,Clockers (1995),20649
160,Congo (1995),10329
161,Crimson Tide (1995),8963
162,Crumb (1994),26564
163,Desperado (1995),8068
164,Devil in a Blue Dress (1995),8512
165,Die Hard: With a Vengeance (1995),1572
166,"Doom Generation, The (1995)",13552
168,First Knight (1995),6520
169,Free Willy 2: The Adventure Home (1995),9073
170,Hackers (1995),10428
171,Jeffrey (1995),17447
172,Johnny Mnemonic (1995),9886
173,Judge Dredd (1995),9482
174,Jury Duty (1995),19326
175,Kids (1995),9344
176,Living in Oblivion (1995),9071
177,Lord of Illusions (1995),8973
178,Love & Human Remains (1993),15730
179,Mad Love (1995),47608
180,Mallrats (1995),2293
181,Mighty Morphin Power Rangers: The Movie (1995),9070
183,Mute Witness (1994),48787
184,Nadja (1994),34574
185,"Net, The (1995)",1642
186,Nine Months (1995),11472
187,Party Girl (1995),36196
188,"Prophecy, The (1995)",11980
189,Reckless (1995),58372
190,Safe (1995),32646
191,"Scarlet Letter, The (1995)",10533
193,Showgirls (1995),10802
194,Smoke (1995),10149
195,Something to Talk About (1995),18402
196,Species (1995),9348
198,Strange Days (1995),281
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",5967
201,Three Wishes (1995),47939
202,Total Eclipse (1995),36834
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",9090
204,Under Siege 2: Dark Territory (1995),3512
205,Unstrung Heroes (1995),52856
206,Unzipped (1995),77350
207,"Walk in the Clouds, A (1995)",9560
208,Waterworld (1995),9804
209,White Man's Burden (1995),31611
210,Wild Bill (1995),65796
211,"Browning Version, The (1994)",49805
212,Bushwhacked (1995),26258
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),50797
214,Before the Rain (Pred dozhdot) (1994),19155
215,Before Sunrise (1995),76
216,Billy Madison (1995),11017
217,"Babysitter, The (1995)",37141
218,Boys on the Side (1995),9382
219,"Cure, The (1995)",6715
220,Castle Freak (1995),18256
222,Circle of Friends (1995),22625
223,Clerks (1994),2292
224,Don Juan DeMarco (1995),1909
225,Disclosure (1994),8984
227,Drop Zone (1994),4954
228,Destiny Turns on the Radio (1995),62488
229,Death and the Maiden (1994),10531
230,Dolores Claiborne (1995),11929
231,Dumb & Dumber (Dumb and Dumber) (1994),8467
232,Eat Drink Man Woman (Yin shi nan nu) (1994),10451
233,Exotica (1994),20156
234,Exit to Eden (1994),18395
235,Ed Wood (1994),522
236,French Kiss (1995),397
237,Forget Paris (1995),10525
238,Far From Home: The Adventures of Yellow Dog (1995),27985
239,"Goofy Movie, A (1995)",15789
240,Hideaway (1995),27303
241,Fluke (1995),21183
242,Farinelli: il castrato (1994),10954
243,Gordy (1995),47867
246,Hoop Dreams (1994),14275
247,Heavenly Creatures (1994),1024
248,Houseguest (1994),17207
249,Immortal Beloved (1994),13701
250,Heavyweights (Heavy Weights) (1995),14819
251,"Hunted, The (1995)",32631
252,I.Q. (1994),11777
253,Interview with the Vampire: The Vampire Chronicles (1994),628
254,Jefferson in Paris (1995),87729
255,"Jerky Boys, The (1995)",18713
256,Junior (1994),6280
257,Just Cause (1995),9061
258,"Kid in King Arthur's Court, A (1995)",37108
259,Kiss of Death (1995),6071
260,Star Wars: Episode IV - A New Hope (1977),11
261,Little Women (1994),9587
262,"Little Princess, A (1995)",19101
263,Ladybird Ladybird (1994),49980
265,Like Water for Chocolate (Como agua para chocolate) (1992),18183
266,Legends of the Fall (1994),4476
267,Major Payne (1995),11008
269,My Crazy Life (Mi vida loca) (1993),32325
270,Love Affair (1994),43742
271,Losing Isaiah (1995),28313
272,"Madness of King George, The (1994)",11318
273,Mary Shelley's Frankenstein (Frankenstein) (1994),3036
274,Man of the House (1995),40490
275,Mixed Nuts (1994),24070
276,Milk Money (1994),8986
277,Miracle on 34th Street (1994),10510
278,Miami Rhapsody (1995),17402
279,My Family (1995),38722
280,Murder in the First (1995),8438
281,Nobody's Fool (1994),11593
282,Nell (1994),1945
283,New Jersey Drive (1995),39310
284,New York Cop (Nyû Yôku no koppu) (1993),109560
285,Beyond Bedlam (1993),56428
287,Nina Takes a Lover (1994),131957
288,Natural Born Killers (1994),241
289,Only You (1994),9058
290,Once Were Warriors (1994),527
291,Poison Ivy II (1996),18220
292,Outbreak (1995),6950
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),101
294,"Perez Family, The (1995)",63020
295,"Pyromaniac's Love Story, A (1995)",2307
296,Pulp Fiction (1994),680
298,Pushing Hands (Tui shou) (1992),25296
299,Priest (1994),40156
300,Quiz Show (1994),11450
301,Picture Bride (Bijo photo) (1994),30304
302,"Queen Margot (Reine Margot, La) (1994)",10452
303,"Quick and the Dead, The (1995)",12106
304,Roommates (1995),161495
305,Ready to Wear (Pret-A-Porter) (1994),3586
306,Three Colors: Red (Trois couleurs: Rouge) (1994),110
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),108
308,Three Colors: White (Trzy kolory: Bialy) (1994),109
310,Rent-a-Kid (1995),36357
311,Relative Fear (1994),92769
312,Stuart Saves His Family (1995),28033
313,"Swan Princess, The (1994)",22586
314,"Secret of Roan Inish, The (1994)",14334
315,"Specialist, The (1994)",2636
316,Stargate (1994),2164
317,"Santa Clause, The (1994)",11395
318,"Shawshank Redemption, The (1994)",278
319,Shallow Grave (1994),9905
320,Suture (1993),87078
321,Strawberry and Chocolate (Fresa y chocolate) (1993),12527
322,Swimming with Sharks (1995),20306
324,"Sum of Us, The (1994)",36614
325,National Lampoon's Senior Trip (1995),27993
326,To Live (Huozhe) (1994),31439
327,Tank Girl (1995),9067
328,Tales from the Crypt Presents: Demon Knight (1995),9059
329,Star Trek: Generations (1994),193
330,Tales from the Hood (1995),25066
331,Tom & Viv (1994),46797
332,Village of the Damned (1995),12122
333,Tommy Boy (1995),11381
334,Vanya on 42nd Street (1994),32636
335,Underneath (1995),36141
336,"Walking Dead, The (1995)",95963
337,What's Eating Gilbert Grape (1993),1587
338,Virtuosity (1995),9271
339,While You Were Sleeping (1995),2064
340,"War, The (1994)",19855
341,Double Happiness (1994),60855
342,Muriel's Wedding (1994),236
343,"Baby-Sitters Club, The (1995)",48287
344,Ace Ventura: Pet Detective (1994),3049
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",2759
346,Backbeat (1993),12635
347,Bitter Moon (1992),10497
348,Bullets Over Broadway (1994),11382
349,Clear and Present Danger (1994),9331
350,"Client, The (1994)",10731
351,"Corrina, Corrina (1994)",10464
352,Crooklyn (1994),34152
353,"Crow, The (1994)",9495
354,Cobb (1994),29973
355,"Flintstones, The (1994)",888
356,Forrest Gump (1994),13
357,Four Weddings and a Funeral (1994),712
358,Higher Learning (1995),16295
359,I Like It Like That (1994),48992
360,I Love Trouble (1994),10879
361,It Could Happen to You (1994),10660
362,"Jungle Book, The (1994)",10714
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",41647
364,"Lion King, The (1994)",8587
365,Little Buddha (1993),1689
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",11596
367,"Mask, The (1994)",854
368,Maverick (1994),9359
369,Mrs. Parker and the Vicious Circle (1994),23333
370,Naked Gun 33 1/3: The Final Insult (1994),36593
371,"Paper, The (1994)",12280
372,Reality Bites (1994),2788
373,Red Rock West (1992),10427
374,Richie Rich (1994),11011
376,"River Wild, The (1994)",8987
377,Speed (1994),1637
378,Speechless (1994),15128
379,Timecop (1994),8831
380,True Lies (1994),36955
381,When a Man Loves a Woman (1994),10449
382,Wolf (1994),10395
383,Wyatt Earp (1994),12160
384,Bad Company (1995),40480
385,"Man of No Importance, A (1994)",52038
386,S.F.W. (1994),29444
387,"Low Down Dirty Shame, A (1994)",26352
388,Boys Life (1995),39953
389,"Colonel Chabert, Le (1994)",41580
390,Faster Pussycat! Kill! Kill! (1965),315
391,Jason's Lyric (1994),22067
393,Street Fighter (1994),11667
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),8011
406,Federal Hill (1994),171857
407,In the Mouth of Madness (1995),2654
408,8 Seconds (1994),18069
409,Above the Rim (1994),19092
410,Addams Family Values (1993),2758
412,"Age of Innocence, The (1993)",10436
413,Airheads (1994),13595
414,"Air Up There, The (1994)",46094
415,Another Stakeout (1993),9409
416,Bad Girls (1994),11853
417,Barcelona (1994),16771
418,Being Human (1993),46924
419,"Beverly Hillbillies, The (1993)",11041
420,Beverly Hills Cop III (1994),306
421,Black Beauty (1994),14522
422,Blink (1994),26203
423,Blown Away (1994),178
424,Blue Chips (1994),19819
425,Blue Sky (1994),57834
426,Body Snatchers (1993),4722
427,Boxing Helena (1993),18215
428,"Bronx Tale, A (1993)",1607
429,Cabin Boy (1994),26391
430,Calendar Girl (1993),117553
431,Carlito's Way (1993),6075
432,City Slickers II: The Legend of Curly's Gold (1994),11310
433,Clean Slate (1994),18658
434,Cliffhanger (1993),9350
435,Coneheads (1993),9612
436,Color of Night (1994),2124
437,Cops and Robbersons (1994),26261
438,"Cowboy Way, The (1994)",19176
440,Dave (1993),11566
441,Dazed and Confused (1993),9571
442,Demolition Man (1993),9739
444,Even Cowgirls Get the Blues (1993),34444
445,Fatal Instinct (1993),26141
446,Farewell My Concubine (Ba wang bie ji) (1993),10997
448,Fearless (1993),10443
449,Fear of a Black Hat (1994),20239
450,With Honors (1994),16297
451,Flesh and Bone (1993),18551
452,Widows' Peak (1994),25440
453,For Love or Money (1993),9024
454,"Firm, The (1993)",37233
455,Free Willy (1993),1634
456,Fresh (1994),13815
457,"Fugitive, The (1993)",5503
458,Geronimo: An American Legend (1993),35588
459,"Getaway, The (1994)",2087
460,Getting Even with Dad (1994),41579
461,Go Fish (1994),18620
464,Hard Target (1993),2019
466,Hot Shots! Part Deux (1993),9255
467,Live Nude Girls (1995),26271
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",10612
469,"House of the Spirits, The (1993)",2259
470,House Party 3 (1994),16097
471,"Hudsucker Proxy, The (1994)",11934
472,I'll Do Anything (1994),106143
473,In the Army Now (1994),12475
474,In the Line of Fire (1993),9386
475,In the Name of the Father (1993),7984
476,"Inkwell, The (1994)",59930
477,What's Love Got to Do with It? (1993),15765
478,Jimmy Hollywood (1994),31643
479,Judgment Night (1993),6
480,Jurassic Park (1993),329
481,Kalifornia (1993),10909
482,Killing Zoe (1994),507
484,Lassie (1994),29918
485,Last Action Hero (1993),9593
486,Life with Mikey (1993),42580
487,Lightning Jack (1994),22317
488,M. Butterfly (1993),1413
489,Made in America (1993),12121
490,Malice (1993),2246
491,"Man Without a Face, The (1993)",10502
492,Manhattan Murder Mystery (1993),10440
493,Menace II Society (1993),9516
494,Executive Decision (1996),2320
495,In the Realm of the Senses (Ai no corrida) (1976),5879
496,What Happened Was... (1994),83718
497,Much Ado About Nothing (1993),11971
499,Mr. Wonderful (1993),31911
500,Mrs. Doubtfire (1993),788
501,Naked (1993),21450
502,"Next Karate Kid, The (1994)",11231
504,No Escape (1994),10447
505,North (1994),31586
506,Orlando (1992),9300
507,"Perfect World, A (1993)",9559
508,Philadelphia (1993),9800
509,"Piano, The (1993)",713
510,Poetic Justice (1993),8291
511,"Program, The (1993)",18133
512,"Puppet Masters, The (1994)",25557
513,Radioland Murders (1994),22588
514,"Ref, The (1994)",10872
515,"Remains of the Day, The (1993)",1245
516,Renaissance Man (1994),11858
517,Rising Sun (1993),7007
518,"Road to Wellville, The (1994)",10467
519,RoboCop 3 (1993),5550
520,Robin Hood: Men in Tights (1993),8005
521,Romeo Is Bleeding (1993),2088
522,Romper Stomper (1992),10412
523,Ruby in Paradise (1993),47889
524,Rudy (1993),14534
526,"Savage Nights (Nuits fauves, Les) (1992)",41878
527,Schindler's List (1993),424
528,"Scout, The (1994)",35233
529,Searching for Bobby Fischer (1993),14291
531,"Secret Garden, The (1993)",11236
532,Serial Mom (1994),11592
533,"Shadow, The (1994)",8850
534,Shadowlands (1993),10445
535,Short Cuts (1993),695
536,"Simple Twist of Fate, A (1994)",43535
537,Sirens (1994),12519
538,Six Degrees of Separation (1993),23210
539,Sleepless in Seattle (1993),858
540,Sliver (1993),867
541,Blade Runner (1982),78
542,Son in Law (1993),13203
543,So I Married an Axe Murderer (1993),10442
544,Striking Distance (1993),11074
546,Super Mario Bros. (1993),9607
547,Surviving the Game (1994),17585
548,Terminal Velocity (1994),9057
549,Thirty-Two Short Films About Glenn Gould (1993),20967
550,Threesome (1994),10635
551,"Nightmare Before Christmas, The (1993)",9479
552,"Three Musketeers, The (1993)",10057
553,Tombstone (1993),11969
555,True Romance (1993),319
556,"War Room, The (1993)",26408
558,"Pagemaster, The (1994)",15139
562,Welcome to the Dollhouse (1995),11446
563,Germinal (1993),51980
564,Chasers (1994),24405
567,Kika (1993),8223
568,Bhaji on the Beach (1993),14587
569,Little Big League (1994),31504
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",23637
574,Spanking the Monkey (1994),17600
575,"Little Rascals, The (1994)",10897
577,Andre (1994),21352
579,"Escort, The (Scorta, La) (1993)",68806
580,Princess Caraboo (1994),37345
581,"Celluloid Closet, The (1995)",32562
583,Dear Diary (Caro Diario) (1994),25403
585,"Brady Bunch Movie, The (1995)",9066
586,Home Alone (1990),771
587,Ghost (1990),251
588,Aladdin (1992),812
589,Terminator 2: Judgment Day (1991),280
590,Dances with Wolves (1990),581
592,Batman (1989),268
593,"Silence of the Lambs, The (1991)",274
594,Snow White and the Seven Dwarfs (1937),408
595,Beauty and the Beast (1991),10020
596,Pinocchio (1940),10895
597,Pretty Woman (1990),114
599,"Wild Bunch, The (1969)",576
600,Love and a .45 (1994),15477
602,"Great Day in Harlem, A (1994)",124472
605,One Fine Day (1996),7300
606,Candyman: Farewell to the Flesh (1995),10824
608,Fargo (1996),275
609,Homeward Bound II: Lost in San Francisco (1996),25059
610,Heavy Metal (1981),11827
611,Hellraiser: Bloodline (1996),8766
612,"Pallbearer, The (1996)",23570
613,Jane Eyre (1996),47333
615,Bread and Chocolate (Pane e cioccolata) (1973),51242
616,"Aristocats, The (1970)",10112
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",4307
618,Two Much (1995),46029
619,Ed (1996),32308
626,"Thin Line Between Love and Hate, A (1996)",28121
627,"Last Supper, The (1995)",12520
628,Primal Fear (1996),1592
631,All Dogs Go to Heaven 2 (1996),19042
632,Land and Freedom (Tierra y libertad) (1995),38884
633,Denise Calls Up (1995),47449
634,Theodore Rex (1995),36259
635,"Family Thing, A (1996)",41852
636,Frisk (1995),40926
637,Sgt. Bilko (1996),9099
638,Jack and Sarah (1995),2021
639,Girl 6 (1996),61752
640,Diabolique (1996),10988
645,Nelly & Monsieur Arnaud (1995),12652
647,Courage Under Fire (1996),10684
648,Mission: Impossible (1996),954
649,Cold Fever (Á köldum klaka) (1995),68445
650,Moll Flanders (1996),18989
653,Dragonheart (1996),8840
656,Eddie (1996),11107
661,James and the Giant Peach (1996),10539
662,Fear (1996),10543
663,Kids in the Hall: Brain Candy (1996),18414
665,Underground (1995),11902
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),25087
668,Song of the Little Road (Pather Panchali) (1955),5801
670,"World of Apu, The (Apur Sansar) (1959)",896
671,Mystery Science Theater 3000: The Movie (1996),3065
673,Space Jam (1996),2300
674,Barbarella (1968),8069
678,Some Folks Call It a Sling Blade (1993),27768
679,"Run of the Country, The (1995)",221917
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",8072
685,It's My Party (1996),33245
688,Operation Dumbo Drop (1995),27281
691,Mrs. Winterbourne (1996),40001
692,Solo (1996),29621
694,"Substitute, The (1996)",20762
695,True Crime (1996),37144
697,Feeling Minnesota (1996),12656
698,Delta of Venus (1995),38867
700,Angus (1995),25969
703,Boys (1996),43634
704,"Quest, The (1996)",9103
706,Sunset Park (1996),29649
707,Mulholland Falls (1996),10990
708,"Truth About Cats & Dogs, The (1996)",8866
709,Oliver & Company (1988),12233
710,Celtic Pride (1996),23449
711,Flipper (1996),36355
714,Dead Man (1995),922
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",11876
718,"Visitors, The (Visiteurs, Les) (1993)",11687
719,Multiplicity (1996),9304
720,Wallace & Gromit: The Best of Aardman Animation (1996),503475
722,"Haunted World of Edward D. Wood Jr., The (1996)",73183
724,"Craft, The (1996)",9100
725,"Great White Hype, The (1996)",20759
726,Last Dance (1996),46063
728,Cold Comfort Farm (1995),32513
731,Heaven's Prisoners (1996),36915
733,"Rock, The (1996)",9802
735,Cemetery Man (Dellamorte Dellamore) (1994),21588
736,Twister (1996),664
737,Barb Wire (1996),11867
741,Ghost in the Shell (Kôkaku kidôtai) (1995),9323
742,Thinner (1996),10280
743,Spy Hard (1996),10535
745,Wallace & Gromit: A Close Shave (1995),532
747,"Stupids, The (1996)",16299
748,"Arrival, The (1996)",10547
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),935
757,Ashes of Time (Dung che sai duk) (1994),40751
759,Maya Lin: A Strong Clear Vision (1994),85778
760,Stalingrad (1993),11101
761,"Phantom, The (1996)",9826
762,Striptease (1996),9879
764,Heavy (1995),22621
765,Jack (1996),7095
766,I Shot Andy Warhol (1996),26890
773,Touki Bouki (1973),77771
775,Spirits of the Dead (1968),41225
778,Trainspotting (1996),627
779,'Til There Was You (1997),32872
780,Independence Day (a.k.a. ID4) (1996),602
781,Stealing Beauty (1996),14553
782,"Fan, The (1996)",9566
783,"Hunchback of Notre Dame, The (1996)",10545
784,"Cable Guy, The (1996)",9894
785,Kingpin (1996),11543
786,Eraser (1996),9268
788,"Nutty Professor, The (1996)",9327
790,"Unforgettable Summer, An (Un été inoubliable) (1994)",81949
795,Somebody to Love (1994),44535
798,Daylight (1996),11228
799,"Frighteners, The (1996)",10779
800,Lone Star (1996),26748
801,Harriet the Spy (1996),38223
802,Phenomenon (1996),9294
803,Walking and Talking (1996),49963
804,She's the One (1996),11363
805,"Time to Kill, A (1996)",1645
806,American Buffalo (1996),31546
808,Alaska (1996),36344
809,Fled (1996),18550
810,Kazaam (1996),11511
813,Larger Than Life (1996),34170
818,"Very Brady Sequel, A (1996)",12606
823,"Collector, The (La collectionneuse) (1967)",4837
824,Kaspar Hauser (1993),12632
828,"Adventures of Pinocchio, The (1996)",18975
829,Joe's Apartment (1996),11962
830,"First Wives Club, The (1996)",2925
832,Ransom (1996),3595
833,High School High (1996),9308
835,Foxfire (1996),18555
836,Chain Reaction (1996),12123
837,Matilda (1996),10830
838,Emma (1996),3573
839,"Crow: City of Angels, The (1996)",10546
840,House Arrest (1996),18862
841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",31417
842,Tales from the Crypt Presents: Bordello of Blood (1996),9431
848,"Spitfire Grill, The (1996)",47907
849,Escape from L.A. (1996),10061
851,Basquiat (1996),549
852,Tin Cup (1996),10478
858,"Godfather, The (1972)",238
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),11134
866,Bound (1996),9303
867,Carpool (1996),23945
869,Kansas City (1996),22479
870,Gone Fishin' (1997),9054
875,Nothing to Lose (1994),410921
876,Supercop 2 (Project S) (Chao ji ji hua) (1993),38955
879,"Relic, The (1997)",11015
880,"Island of Dr. Moreau, The (1996)",9306
881,First Kid (1996),12559
882,"Trigger Effect, The (1996)",58770
885,Bogus (1996),3587
886,Bulletproof (1996),10723
888,Land Before Time III: The Time of the Great Giving (1995),19004
889,1-900 (06) (1994),101230
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),10987
892,Twelfth Night (1996),44705
893,Mother Night (1996),20318
896,Wild Reeds (Les roseaux sauvages) (1994),26933
897,For Whom the Bell Tolls (1943),27854
898,"Philadelphia Story, The (1940)",981
899,Singin' in the Rain (1952),872
900,"American in Paris, An (1951)",2769
901,Funny Face (1957),13320
902,Breakfast at Tiffany's (1961),164
903,Vertigo (1958),426
904,Rear Window (1954),567
905,It Happened One Night (1934),3078
906,Gaslight (1944),13528
907,"Gay Divorcee, The (1934)",28288
908,North by Northwest (1959),213
909,"Apartment, The (1960)",284
910,Some Like It Hot (1959),239
911,Charade (1963),4808
912,Casablanca (1942),289
913,"Maltese Falcon, The (1941)",963
914,My Fair Lady (1964),11113
915,Sabrina (1954),6620
916,Roman Holiday (1953),804
917,"Little Princess, The (1939)",26531
918,Meet Me in St. Louis (1944),909
919,"Wizard of Oz, The (1939)",630
920,Gone with the Wind (1939),770
921,My Favorite Year (1982),31044
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),599
923,Citizen Kane (1941),15
924,2001: A Space Odyssey (1968),62
926,All About Eve (1950),705
927,"Women, The (1939)",22490
928,Rebecca (1940),223
929,Foreign Correspondent (1940),25670
930,Notorious (1946),303
931,Spellbound (1945),4174
932,"Affair to Remember, An (1957)",8356
933,To Catch a Thief (1955),381
934,Father of the Bride (1950),20758
935,"Band Wagon, The (1953)",29376
936,Ninotchka (1939),1859
937,Love in the Afternoon (1957),18299
938,Gigi (1958),17281
940,"Adventures of Robin Hood, The (1938)",10907
941,"Mark of Zorro, The (1940)",32093
942,Laura (1944),1939
943,"Ghost and Mrs. Muir, The (1947)",22292
944,Lost Horizon (1937),3598
945,Top Hat (1935),3080
946,To Be or Not to Be (1942),198
947,My Man Godfrey (1936),13562
948,Giant (1956),1712
949,East of Eden (1955),220
950,"Thin Man, The (1934)",3529
951,His Girl Friday (1940),3085
952,Around the World in 80 Days (1956),2897
953,It's a Wonderful Life (1946),1585
954,Mr. Smith Goes to Washington (1939),3083
955,Bringing Up Baby (1938),900
956,Penny Serenade (1941),43795
959,Of Human Bondage (1934),43905
961,Little Lord Fauntleroy (1936),23114
963,"Inspector General, The (1949)",40206
965,"39 Steps, The (1935)",260
968,Night of the Living Dead (1968),10331
969,"African Queen, The (1951)",488
970,Beat the Devil (1953),22733
971,Cat on a Hot Tin Roof (1958),261
973,Meet John Doe (1941),32574
976,"Farewell to Arms, A (1932)",22649
979,Nothing Personal (1995),125587
981,Dangerous Ground (1997),52855
982,Picnic (1955),39940
984,"Pompatus of Love, The (1996)",85328
986,Fly Away Home (1996),11076
987,Bliss (1997),63945
988,Grace of My Heart (1996),58985
990,Maximum Risk (1996),10861
991,Michael Collins (1996),1770
993,Infinity (1996),2033
994,Big Night (1996),18203
996,Last Man Standing (1996),9333
998,Set It Off (1996),9400
999,2 Days in the Valley (1996),9401
1003,Extreme Measures (1996),11306
1004,"Glimmer Man, The (1996)",9625
1005,D3: The Mighty Ducks (1996),10680
1006,"Chamber, The (1996)",6346
1007,"Apple Dumpling Gang, The (1975)",18660
1008,"Davy Crockett, King of the Wild Frontier (1955)",35115
1009,Escape to Witch Mountain (1975),14821
1010,"Love Bug, The (1969)",14136
1011,Herbie Rides Again (1974),10869
1012,Old Yeller (1957),22660
1013,"Parent Trap, The (1961)",19186
1014,Pollyanna (1960),31102
1015,Homeward Bound: The Incredible Journey (1993),6878
1016,"Shaggy Dog, The (1959)",15944
